"LOC","STA","STATION","C","BAND","SPN","NUMB","SPEC","AGE","HA","WRP","SEX","HS","SK","CP","BP","F","BM","FM","FW","JP","WNG","WEIGHT","STATUS","DATE","TIME","NET","ANET","DISP","PPC","SSC","PPF","SSF","TT","RR","HD","UPP","UNP","BPL","NF","FP","N","B","A","BRSTAT","IP","SP","year"
"MORA",11273,"SSPT","N","279049208",137600,"11555","WEFL","2","S",,"U",,"2","0","0","0","0","N","2","3",60,10,"300",2017-07-07,"100","05","05",,"J","J","J","J","J","J",,,,,,"-","-","*","*","B","07","A",2017
"MORA",11273,"SSPT","N","272092907",150700,"13570","BCCH","2","S",,"U",,"1","0","0","0","0","N","1","3",60,11,"300",2017-07-13,"090","02","02",,"J","J","J","J",,,,,,,,"-","-","*","*","B","08","A",2017
"MORA",11273,"SSPT","N","272092908",150700,"13570","BCCH","1","SP",,"F","B","6","0","1","0","1","N","1","0",62,11,"300",2017-08-03,"072","07","07",,,,,,,,,,,,,"-","-","*","*","B","10","A",2017
"MORA",11273,"SSPT","U","7807",151000,"13600","CBCH","1","B",,"F","W",,"0","1","0","0","S","1","0",61,0,"000",2017-06-27,"071","10","10","D","L",,,,,,,,,,,"-","-","*","*","O","06","A",2017
"MORA",11273,"SSPT","U","7808",151000,"13600","CBCH","1","B",,"F","B",,"1","2","0","0","N",,"0",0,0,"000",2017-06-27,"071","10","10","D",,,,,,,,,,,,"-","-","*","*","O","06","A",2017
"MORA",11273,"SSPT","N","279049214",151000,"13600","CBCH","6","P",,"F","B","6","0","2","0","0","N","2","0",60,0,"300",2018-06-26,"090","07","07",,"B","B","B","B","B","B",,,,"B","B","-","-","*","*","O","06","A",2018
"MORA",11273,"SSPT","N","279049209",153900,"14109","PAWR","2","S",,"U",,"2","0","0","1","0","N","1","3",44,8,"300",2017-07-20,"060","04","04",,"J","J","J","J","J","J",,,,,,"-","-","*","*","O","09","A",2017
"MORA",11273,"SSPT","N","279049218",153900,"14109","PAWR","1","Y",,"M","C","6","1","0","0","0","N","1","0",46,0,"300",2018-07-06,"054","05","05",,"B","B","B","B","B","B",,,,"B","B","-","-","*","*","O","07","A",2018
"MORA",11273,"SSPT","N","279049207",159200,"14240","GCKI","1","PS",,"M","P","6","0","0","0","0","N","1","0",56,6,"300",2017-07-07,"063","08","08",,"B","B","B","B","B","B",,,,,,"-","-","*","*","O","07","A",2017
"MORA",11273,"SSPT","R","279049207",159200,"14240","GCKI","1","SP",,"M","P","6","0","0","0","0","S","1","0",55,6,"300",2017-07-20,"070","09","09",,"B","B","B",,,,,,,,,"-","-","*","*","O","09","A",2017
"MORA",11273,"SSPT","N","279049215",159200,"14240","GCKI","2","JI",,"U",,,,,,,,,,52,0,"300",2018-06-26,"100","09","09",,,,,,,,,,,,,"-","-","*","*","O","06","A",2018
"MORA",11273,"SSPT","N","279049216",159200,"14240","GCKI","2","JI",,"U",,,,,,,,,,53,0,"300",2018-06-26,"100","06","06",,,,,,,,,,,,,"-","-","*","*","O","06","A",2018
"MORA",11273,"SSPT","N","279049217",159200,"14240","GCKI","1","C",,"M","P",,"2","0","0","0","N","1","0",52,6,"300",2018-06-26,"100","10","10",,,,,,,,,,,,,"-","-","*","*","O","06","A",2018
"MORA",11273,"SSPT","N","224167914",166500,"14810","SWTH","6","P",,"M","C",,"2","0","0","0","N","1","0",95,29,"300",2017-06-07,"061","04","04",,"B","B","B","B","B","B",,,,,,"-","-","*","*","B","04","A",2017
"MORA",11273,"SSPT","R","224167914",166500,"14810","SWTH","6","S",,"M","R","6","1","1","0","0","N","1","0",95,30,"300",2017-06-27,"071","10","10",,,,,,,,,,,,,"-","-","*","*","B","06","A",2017
"MORA",11273,"SSPT","R","224167914",166500,"14810","SWTH","6","P",,"M","C",,"2","0","0","0","N","1","0",97,29,"300",2018-06-06,"060","06","06",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","04","A",2018
"MORA",11273,"SSPT","R","224167914",166500,"14810","SWTH","6","P",,"M","C",,"2","0","0","0","N","2","0",95,29,"300",2018-06-26,"060","02","02",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","06","A",2018
"MORA",11273,"SSPT","R","224167914",166500,"14810","SWTH","6","R",,"M","C",,"3","0","0","0","N","1","0",94,28,"300",2018-07-06,"070","04","04",,"B","B","B","B","B","B",,,,"B",,"-","-","*","*","B","07","A",2018
"MORA",11273,"SSPT","N","224167915",166500,"14810","SWTH","6","P",,"U",,,"1","0","0","0","N","1","0",97,30,"300",2017-06-07,"061","04","04",,"B","B","B","B","B","B",,,,,,"-","-","*","*","B","04","A",2017
"MORA",11273,"SSPT","R","224167915",166500,"14810","SWTH","6","P",,"U",,,"2","1","0","0","N","2","0",98,30,"300",2017-06-13,"055","03","03",,"B","B","B","B","B",,,,,,,"-","-","*","*","B","05","A",2017
"MORA",11273,"SSPT","N","224167916",166500,"14810","SWTH","1","P",,"M","C",,"2","0","0","0","N","1","0",97,29,"300",2017-06-07,"084","05","05",,"B","B","B","B","B","B",,,,,,"-","-","*","*","B","04","A",2017
"MORA",11273,"SSPT","N","224167917",166500,"14810","SWTH","6","R",,"F","R",,"0","0","2","0","N","1","0",94,33,"300",2017-06-13,"054","03","03",,"B","B","B","B","B",,,,,,,"-","-","*","*","B","05","A",2017
"MORA",11273,"SSPT","R","224167917",166500,"14810","SWTH","6","R",,"F","B",,"0","3","0","0","N","1","0",95,33,"300",2017-06-27,"064","04","04",,"B","B","B","B","B","B",,,,,,"-","-","*","*","B","06","A",2017
